CustomerID,Gender,Region,Age,PurchaseAmount,PurchaseQuantity,ProductCategory
CUST10000,Male,East,38.0,185.69,2.0,Sports
CUST10001,Female,North,60.0,123.75,1.0,Groceries
CUST10002,Female,North,17.0,59.88,1.0,Groceries
CUST10003,Female,West,35.0,72.43,2.0,Clothing
CUST10004,Male,East,,322.74,0.0,Electronics
CUST10005,Male,South,36.0,41.78,2.0,Groceries
CUST10006,Male,West,34.0,149.69,4.0,Sports
CUST10007,Female,East,22.0,208.45,4.0,Home
CUST10008,Female,East,37.0,198.34,3.0,Home
CUST10009,Female,South,27.0,95.68,3.0,Clothing
CUST10010,Male,West,13.0,165.65,2.0,Home
CUST10011,nan,East,47.0,75.76,2.0,Groceries
CUST10012,Female,East,45.0,198.24,2.0,Home
CUST10013,Male,East,36.0,56.31,1.0,Groceries
CUST10014,Male,South,37.0,24.13,2.0,Groceries
CUST10015,Male,West,46.0,287.72,1.0,Electronics
CUST10016,Male,West,,94.81,2.0,Clothing
CUST10017,Female,West,44.0,153.44,1.0,Sports
CUST10018,Male,West,,77.59,1.0,Groceries
CUST10019,Male,North,48.0,67.13,3.0,Clothing
CUST10020,Female,North,38.0,103.45,4.0,Sports
CUST10021,Male,West,37.0,219.9,1.0,Home
CUST10022,Male,South,22.0,115.95,3.0,Clothing
CUST10023,Male,North,38.0,,0.0,Clothing
CUST10024,Male,East,27.0,98.68,2.0,Clothing
CUST10025,Female,North,29.0,173.76,2.0,Home
CUST10026,Male,East,27.0,167.9,,Home
CUST10027,Female,West,24.0,86.53,2.0,Clothing
CUST10028,Female,North,56.0,293.11,3.0,Electronics
CUST10029,Male,South,48.0,2.98,1.0,Groceries
CUST10030,Female,North,54.0,182.76,1.0,Home
CUST10031,Male,North,23.0,327.33,2.0,Electronics
CUST10032,Male,North,36.0,177.72,4.0,Home
CUST10033,Female,West,22.0,119.55,4.0,Clothing
CUST10034,nan,South,28.0,316.25,1.0,Electronics
CUST10035,Female,North,26.0,151.88,2.0,Sports
CUST10036,Male,South,47.0,48.89,1.0,Groceries
CUST10037,Male,West,31.0,57.85,0.0,Groceries
CUST10038,Female,East,46.0,214.03,2.0,Home
CUST10039,Male,North,41.0,29.94,1.0,Groceries
CUST10040,Male,South,58.0,165.66,1.0,Sports
CUST10041,Female,South,20.0,287.11,3.0,Electronics
CUST10042,Male,West,48.0,255.24,2.0,Electronics
CUST10043,Female,North,46.0,77.48,1.0,Clothing
CUST10044,Male,East,25.0,260.52,4.0,Electronics
CUST10045,Female,South,45.0,225.38,2.0,Home
CUST10046,Male,North,38.0,90.16,5.0,Sports
CUST10047,Female,East,33.0,102.48,0.0,Clothing
CUST10048,Female,South,27.0,182.51,2.0,Home
CUST10049,Male,South,28.0,173.97,3.0,Home
CUST10050,nan,East,55.0,204.71,1.0,Home
CUST10051,Female,East,35.0,70.13,2.0,Groceries
CUST10052,Female,West,43.0,201.53,5.0,Home
CUST10053,Female,North,27.0,38.7,2.0,Groceries
CUST10054,Female,North,27.0,322.41,1.0,Electronics
CUST10055,Female,West,46.0,60.43,1.0,Groceries
CUST10056,Male,South,22.0,184.94,1.0,Home
CUST10057,Male,East,31.0,159.69,3.0,Sports
CUST10058,Male,East,35.0,110.44,2.0,Sports
CUST10059,Male,East,36.0,264.7,2.0,Electronics
CUST10060,Male,South,33.0,193.12,1.0,Home
CUST10061,Male,East,39.0,64.96,3.0,Groceries
CUST10062,Female,East,42.0,131.43,2.0,Sports
CUST10063,Male,West,42.0,158.58,2.0,Clothing
CUST10064,Male,South,25.0,229.78,0.0,Home
