CustomerID,Age,Gender,Region,SatisfactionScore,Comments
CUST1000,52.0,Male,South,-1.0,Average
CUST1001,24.0,Female,North,3.0,
CUST1002,54.0,Male,?,3.0,Will come again
CUST1003,56.0,Male,South,,
CUST1004,57.0,Male,East,1.0,
CUST1005,27.0,Female,North,1.0,
CUST1006,,Male,South,3.0,
CUST1007,19.0,Male,North,4.0,Average
CUST1008,36.0,Female,Unknown,5.0,
CUST1009,42.0,Male,North,3.0,
CUST1010,40.0,Male,East,2.0,Will come again
CUST1011,43.0,Female,South,1.0,
CUST1012,69.0,Unknown,East,2.0,
CUST1013,59.0,Male,East,3.0,
CUST1014,36.0,Female,South,2.0,
CUST1015,58.0,Female,?,4.0,nan
CUST1016,56.0,Female,Unknown,1.0,Not satisfied
CUST1017,57.0,Male,East,2.0,Will come again
CUST1018,48.0,Female,North,3.0,
CUST1019,67.0,Male,Unknown,2.0,
CUST1020,27.0,Male,North,-1.0,Great service!
CUST1021,33.0,Male,East,2.0,Will come again
CUST1022,21.0,Female,South,2.0,Not satisfied
CUST1023,65.0,Male,South,2.0,
CUST1024,23.0,Female,East,5.0,Average
CUST1025,69.0,Unknown,North,4.0,
CUST1026,41.0,Male,North,3.0,Great service!
CUST1027,39.0,Male,East,5.0,
CUST1028,41.0,Male,East,3.0,
CUST1029,19.0,Male,North,3.0,
CUST1030,54.0,Female,South,4.0,
CUST1031,52.0,Female,East,2.0,
CUST1032,38.0,Unknown,East,4.0,Average
CUST1033,59.0,Female,North,2.0,
CUST1034,57.0,Male,North,4.0,Will come again
CUST1035,63.0,Female,South,4.0,
CUST1036,25.0,Male,East,2.0,
CUST1037,47.0,Female,South,4.0,Great service!
CUST1038,47.0,Male,?,5.0,Great service!
CUST1039,43.0,Male,North,4.0,
CUST1040,20.0,Male,South,5.0,Average
CUST1041,32.0,Male,South,3.0,
CUST1042,19.0,Male,East,,
CUST1043,27.0,Female,East,1.0,
CUST1044,61.0,Female,North,3.0,
CUST1045,63.0,Female,South,5.0,Not satisfied
CUST1046,37.0,Male,North,2.0,
CUST1047,37.0,Male,South,2.0,
CUST1048,,Female,East,2.0,Not satisfied
CUST1049,45.0,Male,South,2.0,
CUST1050,29.0,Male,South,2.0,Not satisfied
CUST1051,42.0,Male,South,3.0,Not satisfied
