,CustomerID,Age,Gender,Region,SatisfactionScore
0,CUST1000,52.0,Male,South,3.0
1,CUST1001,24.0,Female,North,3.0
2,CUST1002,54.0,Male,,3.0
3,CUST1003,56.0,Male,South,3.0
4,CUST1004,57.0,Male,East,1.0
5,CUST1005,27.0,Female,North,1.0
6,CUST1006,43.0,Male,South,3.0
7,CUST1007,19.0,Male,North,4.0
8,CUST1008,36.0,Female,,5.0
9,CUST1009,42.0,Male,North,3.0
10,CUST1010,40.0,Male,East,2.0
11,CUST1011,43.0,Female,South,1.0
12,CUST1012,69.0,Other,East,2.0
13,CUST1013,59.0,Male,East,3.0
14,CUST1014,36.0,Female,South,2.0
15,CUST1015,58.0,Female,,4.0
16,CUST1016,56.0,Female,,1.0
17,CUST1017,57.0,Male,East,2.0
18,CUST1018,48.0,Female,North,3.0
19,CUST1019,67.0,Male,,2.0
20,CUST1020,27.0,Male,North,3.0
21,CUST1021,33.0,Male,East,2.0
22,CUST1022,21.0,Female,South,2.0
23,CUST1023,65.0,Male,South,2.0
24,CUST1024,23.0,Female,East,5.0
25,CUST1025,69.0,Other,North,4.0
26,CUST1026,41.0,Male,North,3.0
27,CUST1027,39.0,Male,East,5.0
28,CUST1028,41.0,Male,East,3.0
29,CUST1029,19.0,Male,North,3.0
30,CUST1030,54.0,Female,South,4.0
31,CUST1031,52.0,Female,East,2.0
32,CUST1032,38.0,Other,East,4.0
33,CUST1033,59.0,Female,North,2.0
34,CUST1034,57.0,Male,North,4.0
35,CUST1035,63.0,Female,South,4.0
36,CUST1036,25.0,Male,East,2.0
37,CUST1037,47.0,Female,South,4.0
38,CUST1038,47.0,Male,,5.0
39,CUST1039,43.0,Male,North,4.0
40,CUST1040,20.0,Male,South,5.0
41,CUST1041,32.0,Male,South,3.0
42,CUST1042,19.0,Male,East,3.0
43,CUST1043,27.0,Female,East,1.0
44,CUST1044,61.0,Female,North,3.0
45,CUST1045,63.0,Female,South,5.0
46,CUST1046,37.0,Male,North,2.0
47,CUST1047,37.0,Male,South,2.0
48,CUST1048,43.0,Female,East,2.0
49,CUST1049,45.0,Male,South,2.0
50,CUST1050,29.0,Male,South,2.0
51,CUST1051,42.0,Male,South,3.0
52,CUST1052,24.0,Female,South,3.0
53,CUST1053,25.0,Female,North,3.0
54,CUST1054,27.0,Male,South,3.0
55,CUST1055,22.0,Male,South,2.0
56,CUST1056,34.0,Male,North,4.0
57,CUST1057,43.0,Female,,4.0
